,id,Nombres,Apellidos,Puesto
0,0,Cristina,Fernández de Kirchner,Presidente
1,0,Amado,Boudou,Vicepresidente
2,1,Hermes,Binner,Presidente
3,1,Norma,Morandini,Vicepresidente
4,2,Ricardo,Alfonsín,Presidente
5,2,Javier González,Fraga,Vicepresidente
6,3,Mauricio,Macri,Presidente
7,3,Gabriela,Michetti,Vicepresidente
8,4,Daniel,Scioli,Presidente
9,4,Carlos,Zannini,Vicepresidente
10,5,Sergio,Massa,Presidente
11,5,Gustavo,Sáenz,Vicepresidente
12,6,Cristina,Fernández de Kirchner,Presidente
13,6,Cristina Fernández de,Kirchner,Vicepresidente
14,7,Mauricio,Macri,Presidente
15,7,Miguel Ángel,Pichetto,Vicepresidente
16,8,Roberto,Lavagna,Presidente
17,8,Juan Manuel,Urtubey,Vicepresidente
18,9,JAVIER GERARDO,MILEI,Presidente
19,9,VICTORIA,VILLARRUEL,Vicepresidente
20,10,PATRICIA,BULLRICH,Presidente
21,10,LUIS,PETRI,Vicepresidente
22,11,SERGIO TOMAS,MASSA,Presidente
23,11,AGUSTIN,ROSSI,Vicepresidente
24,13,Myriam,Bregman,Presidente
25,13,Nicolás,del Caño,Vicepresidente
26,12,Juan,Schiaretti,Presidente
27,12,Florencio,Randazzo,Vicepresidente
