,id,palabra_clave,cant_likes
0,CwTLwHrr8YA,MILEI,1025
1,CvsWEBiLTr0,MILEI,2241
2,Cv6Fu5RNqni,MILEI,37927
3,Cv7U6gUojT4,MILEI,5472
4,CwF_HfqoMJh,MILEI,13325
5,Cjjjwk9jJ0e,MILEI,1870
6,CwDTdUUoxkr,MILEI,14647
7,CxY8pWdu5z6,MILEI,1896
8,Cv_Hp54rnGS,MILEI,24825
9,Cxl5xSkIdBH,MILEI,3383
10,CzkLUUNtz0M,MILEI,13024
11,CzkVaUjPiW8,MILEI,47888
12,CzkQMc5hco5,MILEI,30576
13,CzkOTpZNl8l,MILEI,67517
14,CzkR6F8oXgX,MILEI,6626
15,CzjpRadCmYt,MILEI,7959
16,CzkSCKyI8eG,MILEI,2898
17,CzmU5ElLGPF,MILEI,10420
18,Czq44CrpC3y,MILEI,2707
19,CzoYFrPiKdw,MILEI,2250
20,Cz61HxEJKbb,MILEI,1162
21,Cz6jk7FudaY,MILEI,2387
22,Cz61szZrXbA,MILEI,7211
23,Cz12HCgPyLN,MILEI,1754
24,Cz1zX_bRXcJ,MILEI,6934
25,Cz1q9qzOM1j,MILEI,330
26,Cz3_7wDMnxp,MILEI,495
27,Cz175DJxgJN,MILEI,4835
28,Cz11zXmvgPd,MILEI,615
29,Cz1xQH-RkKn,MILEI,799
30,Cz1rp7Lxnwh,MILEI,2919
31,Cz1GymyOa3W,MILEI,217
32,Cz1ULlSunu4,MILEI,5972
33,CkLmeQOgLDR,MILEI,1089
34,Cy6ZE-RMy4j,MILEI,17935
35,Cy86eE_tViX,MILEI,8283
36,Cy8l47LKAHh,MILEI,17601
37,Cy56BCZxR43,MILEI,9894
38,Cy3xEMZIRGt,MILEI,31672
39,Cy3gzNgtXeg,MILEI,7055
40,Cy3R7mDMxiX,MILEI,3612
41,Cy1uhxpqCBf,MILEI,2283
42,Cy1W3k-tvGh,MILEI,3823
43,Cy1MF4fvZI3,MILEI,1020
44,Cy1EeD4LA3I,MILEI,4095
45,Cy1lcUbKMbz,MILEI,186
46,CeuD4syPhc4,MILEI,112
47,Cy7N_G0BJ-2,MILEI,938
48,Cy6nso8rACs,MILEI,13189
49,Cy8nLJeCq9q,MILEI,2576
50,Cy8ej1SN7RP,MILEI,12553
51,Cy4F84hLTxW,MILEI,7868
52,Cy3m2iis7GB,MILEI,3062
53,Cy3V3LCKKXE,MILEI,2077
54,Cy1nOkliezf,MILEI,5882
55,Cy1_pfYqdAH,MILEI,1045
56,Cy1gTiSNMBt,MILEI,7345
57,Cy1bNfDpqRN,MILEI,4102
58,Cy4j-6liUiH,MILEI,20705
59,Cy1ur2LBX-c,MILEI,2972
