,fuente,Partido,Cantidad
0,lanacioncom,La Libertad Avanza,1007
1,lanacioncom,Juntos por el Cambio,980
2,lanacioncom,Union por la Patria,759
3,infobae,Juntos por el Cambio,739
4,clarincom,Union por la Patria,738
5,clarincom,Juntos por el Cambio,696
6,infobae,La Libertad Avanza,672
7,clarincom,La Libertad Avanza,653
8,cronicaweb,La Libertad Avanza,577
9,infobae,Union por la Patria,572
10,cronicaweb,Union por la Patria,561
11,pagina12,La Libertad Avanza,508
12,c5n,La Libertad Avanza,473
13,c5n,Union por la Patria,446
14,eldestapeweb,La Libertad Avanza,441
15,a24noticias,Union por la Patria,440
16,pagina12,Union por la Patria,408
17,filonewsok,Union por la Patria,370
18,eldestapeweb,Union por la Patria,364
19,todonoticias,La Libertad Avanza,361
20,a24noticias,La Libertad Avanza,360
21,c5n,Juntos por el Cambio,352
22,a24noticias,Juntos por el Cambio,344
23,cronicaweb,Juntos por el Cambio,306
24,filonewsok,Juntos por el Cambio,303
25,todonoticias,Union por la Patria,301
26,filonewsok,La Libertad Avanza,295
27,todonoticias,Juntos por el Cambio,275
28,eldestapeweb,Juntos por el Cambio,267
29,canal26,Union por la Patria,237
30,pagina12,Juntos por el Cambio,234
31,tv_publica,Union por la Patria,161
32,canal26,La Libertad Avanza,148
33,cronicaweb,Frente de Izquierda y Trabajadores,136
34,tv_publica,La Libertad Avanza,128
35,cronicaweb,Hacemos juntos nuestro Pais,101
36,canal26,Juntos por el Cambio,96
37,filonewsok,Frente de Izquierda y Trabajadores,88
38,filonewsok,Hacemos juntos nuestro Pais,83
39,diario.ole,Union por la Patria,73
40,tv_publica,Juntos por el Cambio,69
41,canal9oficial,La Libertad Avanza,58
42,pagina12,Frente de Izquierda y Trabajadores,55
43,lanacioncom,Hacemos juntos nuestro Pais,54
44,minutouno,Juntos por el Cambio,42
45,clarincom,Hacemos juntos nuestro Pais,41
46,minutouno,La Libertad Avanza,41
47,infobae,Hacemos juntos nuestro Pais,39
48,minutouno,Union por la Patria,39
49,infobae,Frente de Izquierda y Trabajadores,34
50,lanacioncom,Frente de Izquierda y Trabajadores,34
51,a24noticias,Hacemos juntos nuestro Pais,32
52,clarincom,Frente de Izquierda y Trabajadores,28
53,canal9oficial,Union por la Patria,28
54,c5n,Frente de Izquierda y Trabajadores,28
55,a24noticias,Frente de Izquierda y Trabajadores,27
56,todonoticias,Frente de Izquierda y Trabajadores,26
57,todonoticias,Hacemos juntos nuestro Pais,25
58,tv_publica,Frente de Izquierda y Trabajadores,21
59,canal9oficial,Juntos por el Cambio,21
60,diario.ole,La Libertad Avanza,19
61,pagina12,Hacemos juntos nuestro Pais,19
62,c5n,Hacemos juntos nuestro Pais,18
63,eldestapeweb,Hacemos juntos nuestro Pais,16
64,tv_publica,Hacemos juntos nuestro Pais,12
65,eldestapeweb,Frente de Izquierda y Trabajadores,12
66,canal26,Frente de Izquierda y Trabajadores,7
67,canal26,Hacemos juntos nuestro Pais,5
68,diario.ole,Juntos por el Cambio,4
69,minutouno,Frente de Izquierda y Trabajadores,4
70,canal9oficial,Frente de Izquierda y Trabajadores,3
71,minutouno,Hacemos juntos nuestro Pais,2
72,canal9oficial,Hacemos juntos nuestro Pais,2
73,diario.ole,Frente de Izquierda y Trabajadores,1
74,diario.ole,Hacemos juntos nuestro Pais,1
