Fuente,Cantidad,Tipo
infobae,22106,Normales
lanacioncom,17334,Normales
diario.ole,17217,Normales
clarincom,15967,Normales
pagina12,15108,Normales
todonoticias,14319,Normales
c5n,14092,Normales
canal26,11515,Normales
a24noticias,11145,Normales
filonewsok,10912,Normales
canal9oficial,8106,Normales
eldestapeweb,7373,Normales
cronicaweb,5610,Normales
tv_publica,3554,Normales
minutouno,2741,Normales
lanacioncom,2321,Politicas
infobae,1704,Politicas
clarincom,1657,Politicas
c5n,1072,Politicas
a24noticias,1008,Politicas
pagina12,923,Politicas
eldestapeweb,871,Politicas
cronicaweb,861,Politicas
todonoticias,785,Politicas
filonewsok,705,Politicas
canal26,417,Politicas
tv_publica,287,Politicas
minutouno,106,Politicas
canal9oficial,98,Politicas
diario.ole,94,Politicas
