Union por la Patria,Juntos por el Cambio,La Libertad Avanza,Hacemos juntos nuestro Pais,Frente de Izquierda y Trabajadores,Inicio,Final
36.78,23.81,29.99,6.73,2.7,2023-10-22,2023-10-22
33.6,26.4,32.8,4.2,3.0,2023-10-20,2023-10-20
33.0,24.2,31.8,7.9,3.0,2023-10-17,2023-10-19
30.9,24.4,26.5,10.0,3.2,2023-10-10,2023-10-13
29.8,23.1,30.2,3.9,4.6,2023-10-09,2023-10-12
31.4,26.8,33.1,2.1,3.6,2023-10-09,2023-10-11
32.3,24.4,34.1,2.3,2.1,2023-10-09,2023-10-11
29.1,21.8,29.9,6.0,3.4,2023-10-09,2023-10-11
29.0,22.0,32.0,7.0,3.0,2023-10-02,2023-10-11
30.6,25.0,25.2,11.8,3.9,2023-10-08,2023-10-10
26.2,28.9,35.6,2.7,3.4,2023-10-07,2023-10-10
30.9,23.2,35.5,3.4,2.7,2023-10-03,2023-10-09
28.5,27.3,32.9,4.2,3.3,2023-09-30,2023-10-07
26.1,25.4,34.3,5.5,3.1,2023-10-02,2023-10-05
32.7,25.0,34.7,2.7,1.6,2023-10-03,2023-10-04
24.7,21.8,36.2,5.0,3.8,2023-09-28,2023-10-03
32.1,25.9,35.0,4.7,2.3,2023-09-21,2023-09-29
28.9,23.7,32.2,3.1,2.1,2023-09-25,2023-09-28
30.7,27.7,27.9,4.8,2.1,2023-09-20,2023-09-25
31.2,24.8,34.6,1.9,1.8,2023-09-20,2023-09-25
29.8,26.4,34.7,6.0,3.0,2023-09-14,2023-09-25
30.1,23.0,35.5,2.8,2.8,2023-09-22,2023-09-22
29.1,24.2,33.7,2.6,2.3,2023-09-16,2023-09-21
26.0,23.0,33.0,5.0,3.0,2023-09-11,2023-09-20
32.2,28.1,33.2,3.6,2.9,2023-09-01,2023-09-20
27.4,27.8,33.9,3.0,2.5,2023-09-09,2023-09-18
29.0,25.0,34.0,2.0,3.0,2023-09-04,2023-09-10
29.4,29.7,33.1,4.0,3.9,2023-09-06,2023-09-08
28.1,21.2,31.1,2.1,3.4,2023-09-03,2023-09-05
30.6,25.8,36.0,2.4,1.8,2023-08-29,2023-09-04
28.5,22.7,33.2,2.9,4.4,2023-09-01,2023-09-03
25.8,17.8,37.3,5.0,1.2,2023-09-01,2023-09-01
32.2,24.9,34.1,3.0,1.6,2023-09-01,2023-09-01
20.5,16.1,28.1,4.0,3.0,2023-08-22,2023-08-31
30.6,24.8,34.2,2.2,0.8,2023-08-22,2023-08-30
25.0,23.0,35.0,5.0,3.0,2023-08-13,2023-08-25
26.8,20.9,32.1,3.2,4.9,2023-08-18,2023-08-21
23.1,24.7,34.0,0.0,0.0,2023-08-16,2023-08-18
32.3,23.7,38.5,3.2,2.3,2023-08-16,2023-08-17
28.1,25.3,32.3,3.8,1.8,2023-08-14,2023-08-16
27.28,28.0,29.86,3.71,2.61,2023-08-13,2023-08-13
30.8,31.9,20.8,4.4,3.4,2023-07-31,2023-08-04
30.1,36.4,19.5,3.2,2.5,2023-07-31,2023-08-03
31.0,32.0,20.0,3.0,4.0,2023-07-25,2023-08-02
21.0,30.0,22.0,4.0,3.0,2023-07-25,2023-08-02
29.9,35.6,17.5,2.8,5.4,2023-08-01,2023-08-01
32.2,38.0,18.8,2.6,2.6,2023-07-24,2023-07-31
31.1,34.3,19.1,2.4,2.2,2023-07-24,2023-07-31
30.4,33.0,20.3,4.9,1.5,2023-07-25,2023-07-29
31.2,36.5,13.8,0.0,2.8,2023-07-24,2023-07-29
32.1,32.5,22.0,4.3,2.4,2023-07-22,2023-07-29
