,nombre,cant_seguidores,cant_publicaciones,cant_recopilado
0,cronicaweb,253397,9936,7048
1,eldestapeweb,594557,14647,8084
2,infobae,2677758,37559,23644
3,todonoticias,5721453,28247,14999
4,clarincom,1644437,32692,24262
5,lanacioncom,1796849,33055,19763
6,minutouno,144215,3692,2765
7,filonewsok,1236594,15961,14549
8,diario.ole,2843875,52008,19187
9,tv_publica,481103,5434,6304
10,pagina12,770623,24984,16705
11,c5n,1292513,16912,14691
12,a24noticias,444686,16191,11729
13,canal26,611127,19077,15930
14,canal9oficial,316056,11089,8660
