La Libertad Avanza,Union por la Patria,Inicio,Final
55.65,44.35,2023-11-19,2023-11-19
47.9,48.7,2023-11-13,2023-11-13
56.4,43.6,2023-11-10,2023-11-11
43.2,45.9,2023-11-05,2023-11-09
48.6,44.6,2023-11-05,2023-11-09
50.3,42.9,2023-11-07,2023-11-08
42.1,44.2,2023-11-06,2023-11-08
48.2,44.1,2023-11-06,2023-11-08
50.2,46.6,2023-11-04,2023-11-06
37.0,31.0,2023-11-03,2023-11-08
45.3,46.7,2023-10-25,2023-11-08
50.1,44.6,2023-11-03,2023-11-07
44.6,42.9,2023-11-01,2023-11-06
42.0,44.0,2023-11-03,2023-11-05
44.2,42.5,2023-11-03,2023-11-05
46.3,43.1,2023-11-02,2023-11-04
53.3,43.7,2023-11-02,2023-11-03
39.7,42.4,2023-11-01,2023-11-03
48.5,44.7,2023-11-01,2023-11-03
49.6,47.0,2023-11-01,2023-11-03
47.5,44.0,2023-10-26,2023-11-03
43.0,39.0,2023-10-26,2023-11-03
43.1,45.4,2023-10-28,2023-10-29
43.3,43.1,2023-10-23,2023-10-29
46.6,42.4,2023-10-25,2023-10-27
34.3,42.4,2023-10-23,2023-10-25
34.2,44.6,2023-10-23,2023-10-24
41.6,40.4,2023-10-23,2023-10-24
29.99,36.78,2023-10-22,2023-10-22
32.8,33.6,2023-10-20,2023-10-20
31.8,33.0,2023-10-17,2023-10-19
26.5,30.9,2023-10-10,2023-10-13
30.2,29.8,2023-10-09,2023-10-12
33.1,31.4,2023-10-09,2023-10-11
34.1,32.3,2023-10-09,2023-10-11
29.9,29.1,2023-10-09,2023-10-11
32.0,29.0,2023-10-02,2023-10-11
25.2,30.6,2023-10-08,2023-10-10
35.6,26.2,2023-10-07,2023-10-10
35.5,30.9,2023-10-03,2023-10-09
32.9,28.5,2023-09-30,2023-10-07
34.3,26.1,2023-10-02,2023-10-05
34.7,32.7,2023-10-03,2023-10-04
36.2,24.7,2023-09-28,2023-10-03
35.0,32.1,2023-09-21,2023-09-29
32.2,28.9,2023-09-25,2023-09-28
27.9,30.7,2023-09-20,2023-09-25
34.6,31.2,2023-09-20,2023-09-25
34.7,29.8,2023-09-14,2023-09-25
35.5,30.1,2023-09-22,2023-09-22
33.7,29.1,2023-09-16,2023-09-21
33.0,26.0,2023-09-11,2023-09-20
33.2,32.2,2023-09-01,2023-09-20
33.9,27.4,2023-09-09,2023-09-18
34.0,29.0,2023-09-04,2023-09-10
33.1,29.4,2023-09-06,2023-09-08
31.1,28.1,2023-09-03,2023-09-05
36.0,30.6,2023-08-29,2023-09-04
33.2,28.5,2023-09-01,2023-09-03
37.3,25.8,2023-09-01,2023-09-01
34.1,32.2,2023-09-01,2023-09-01
28.1,20.5,2023-08-22,2023-08-31
34.2,30.6,2023-08-22,2023-08-30
35.0,25.0,2023-08-13,2023-08-25
32.1,26.8,2023-08-18,2023-08-21
34.0,23.1,2023-08-16,2023-08-18
38.5,32.3,2023-08-16,2023-08-17
32.3,28.1,2023-08-14,2023-08-16
29.86,27.28,2023-08-13,2023-08-13
20.8,30.8,2023-07-31,2023-08-04
19.5,30.1,2023-07-31,2023-08-03
20.0,31.0,2023-07-25,2023-08-02
22.0,21.0,2023-07-25,2023-08-02
17.5,29.9,2023-08-01,2023-08-01
18.8,32.2,2023-07-24,2023-07-31
19.1,31.1,2023-07-24,2023-07-31
20.3,30.4,2023-07-25,2023-07-29
13.8,31.2,2023-07-24,2023-07-29
22.0,32.1,2023-07-22,2023-07-29
23.3,32.8,2023-07-22,2023-07-29
24.4,32.3,2023-07-22,2023-07-29
16.7,30.1,2023-07-25,2023-07-27
17.0,31.7,2023-07-12,2023-07-27
19.1,28.5,2023-07-23,2023-07-23
23.0,25.2,2023-07-20,2023-07-25
17.7,28.0,2023-07-17,2023-07-21
19.0,28.0,2023-07-14,2023-07-21
20.1,33.8,2023-07-15,2023-07-19
23.4,32.4,2023-07-15,2023-07-19
25.2,31.9,2023-07-15,2023-07-19
22.0,22.0,2023-07-05,2023-07-18
18.1,31.4,2023-07-08,2023-07-12
26.0,27.0,2023-07-05,2023-07-12
18.0,25.1,2023-07-04,2023-07-11
15.8,32.3,2023-07-07,2023-07-07
17.0,32.0,2023-07-04,2023-07-07
22.0,29.0,2023-06-28,2023-07-07
17.1,28.8,2023-07-06,2023-07-06
24.5,27.1,2023-07-01,2023-07-06
18.4,30.5,2023-07-01,2023-07-05
28.3,28.2,2023-06-27,2023-07-02
22.3,28.5,2023-06-27,2023-07-02
21.9,28.5,2023-06-27,2023-07-02
20.0,30.0,2023-06-01,2023-06-01
17.8,32.3,2023-06-28,2023-06-30
15.0,28.0,2023-06-27,2023-06-30
19.0,24.0,2023-06-26,2023-06-29
18.8,32.8,2023-06-28,2023-06-28
25.8,29.5,2023-06-26,2023-06-28
22.1,28.5,2023-06-26,2023-06-28
19.6,29.8,2023-06-26,2023-06-28
17.2,29.1,2023-06-25,2023-06-27
18.9,31.2,2023-06-16,2023-06-16
21.0,22.0,2023-06-08,2023-06-14
20.0,25.0,2023-06-05,2023-06-12
24.3,28.2,2023-05-26,2023-06-09
17.1,29.5,2023-05-19,2023-06-06
16.9,28.7,2023-05-19,2023-06-06
15.3,30.1,2023-05-19,2023-06-06
18.0,27.0,2023-06-01,2023-06-01
19.8,22.8,2023-06-02,2023-06-05
27.7,24.9,2023-06-02,2023-06-05
24.2,24.2,2023-06-02,2023-06-05
25.5,30.3,2023-06-02,2023-06-05
27.6,27.4,2023-06-02,2023-06-05
23.3,31.3,2023-05-26,2023-06-01
24.6,29.0,2023-05-26,2023-06-01
24.3,22.8,2023-05-26,2023-06-01
24.6,20.7,2023-05-26,2023-06-01
23.7,26.0,2023-05-26,2023-06-01
23.7,28.3,2023-05-26,2023-06-01
21.2,27.5,2023-05-28,2023-05-31
26.0,29.0,2023-05-20,2023-05-28
26.0,27.0,2023-05-20,2023-05-28
24.0,26.0,2023-05-20,2023-05-28
24.0,24.0,2023-05-20,2023-05-28
16.8,22.5,2023-05-19,2023-05-26
27.6,25.8,2023-05-18,2023-05-24
26.0,20.0,2023-05-14,2023-05-22
24.0,26.0,2023-05-09,2023-05-20
26.0,27.0,2023-05-09,2023-05-20
26.0,26.0,2023-05-09,2023-05-20
27.9,25.2,2023-05-12,2023-05-19
24.1,25.2,2023-05-12,2023-05-19
24.1,25.9,2023-05-12,2023-05-19
26.3,23.7,2023-05-08,2023-05-13
25.2,24.6,2023-05-06,2023-05-13
17.1,24.9,2023-05-06,2023-05-13
29.3,26.1,2023-04-17,2023-05-07
22.0,26.0,2023-04-27,2023-04-30
26.0,23.0,2023-04-22,2023-04-30
26.0,26.6,2023-04-11,2023-04-16
