Nombre_partido,Cantidad_votos
LA LIBERTAD AVANZA,7116352
JUNTOS POR EL CAMBIO,6698029
UNION POR LA PATRIA,6460689
HACEMOS POR NUESTRO PAIS,907437
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,628893
PRINCIPIOS Y VALORES,187893
MOVIMIENTO LIBRES DEL SUR,154338
MOVIMIENTO AL SOCIALISMO,85628
MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,81972
POLITICA OBRERA,62404
FRENTE PATRIOTA FEDERAL,50842
MOVIMIENTO DE ACCION VECINAL,42252
FRENTE LIBER.AR,26962
PROYECTO JOVEN,23870
UNION DEL CENTRO DEMOCRATICO,11982
