La Libertad Avanza,Union por la Patria,Inicio,Final
36.58664843928081,42.08578263841435,2023-10-23,2023-10-24
39.21138072453937,42.755912508544206,2023-10-23,2023-10-25
41.35614481837463,43.259676597912,2023-10-23,2023-10-29
43.0715204343307,43.61885931406064,2023-10-25,2023-10-27
44.40808728595169,43.85524506453307,2023-10-25,2023-11-08
45.4164250867817,43.990618256872196,2023-10-26,2023-11-03
46.14711355036484,44.046763298620945,2023-10-28,2023-10-29
46.650732390245224,44.04546459732223,2023-11-01,2023-11-03
46.97786131996695,44.00850656051898,2023-11-01,2023-11-06
47.17908005307413,43.957673595754116,2023-11-02,2023-11-03
47.30496830311087,43.91475011057055,2023-11-02,2023-11-04
47.406105783621285,43.90152051251122,2023-11-03,2023-11-05
47.53307220814946,43.939769209119035,2023-11-03,2023-11-07
47.73644729023953,44.05128060793692,2023-11-04,2023-11-06
48.06681074343558,44.25783911650779,2023-11-05,2023-11-09
48.574742281281736,44.581229142374575,2023-11-06,2023-11-08
49.31082161732209,45.043235093080185,2023-11-07,2023-11-08
50.32562846510076,45.66564137616756,2023-11-10,2023-11-11
51.66974253816184,46.4702323991796,2023-11-13,2023-11-13
