,Fecha,Encuestadora,Muestra,La Libertad Avanza,Union por la Patria,Blanco,Indecisos,Ventaja,Inicio,Final
0,19 de noviembre de 2023,Segunda vuelta,27021600,55.65,44.35,3.22,0.0,11.3,2023-11-19,2023-11-19
1,13 de noviembre de 2023,Zuban Córdoba[281]​,2500,47.9,48.7,1.3,1.5,0.8,2023-11-13,2023-11-13
2,10 - 11 de noviembre de 2023,Áltica[282]​[283]​,4500,56.4,43.6,0.0,0.0,12.8,2023-11-10,2023-11-11
3,5 - 9 de noviembre de 2023,Clivajes Consultores[284]​,1840,43.2,45.9,6.6,4.3,2.7,2023-11-05,2023-11-09
4,5 - 9 de noviembre de 2023,Atlas Intel[285]​,8971,48.6,44.6,4.4,2.3,4.0,2023-11-05,2023-11-09
5,7 - 8 de noviembre de 2023,Consultora Delfos[286]​,2595,50.3,42.9,4.3,2.5,7.4,2023-11-07,2023-11-08
6,6 - 8 de noviembre de 2023,Circuitos[287]​,2161,42.1,44.2,9.8,3.9,2.1,2023-11-06,2023-11-08
7,6 - 8 de noviembre de 2023,Consultora Tendencias[288]​,13733,48.2,44.1,2.5,5.2,4.1,2023-11-06,2023-11-08
8,4 - 6 de noviembre de 2023,Áltica [289]​,3000,50.2,46.6,2.8,1.4,3.6,2023-11-04,2023-11-06
9,3 - 8 de noviembre de 2023,UdeSA[290]​,1017,37.0,31.0,5.0,27.0,6.0,2023-11-03,2023-11-08
10,25 de octubre - 8 de noviembre de 2023,CELAG[291]​,2000,45.3,46.7,0.0,8.0,1.4,2023-10-25,2023-11-08
11,3 - 7 de noviembre de 2023,DC Consultores[292]​,2950,50.1,44.6,3.2,2.1,5.5,2023-11-03,2023-11-07
12,1 - 6 de noviembre de 2023,Proyección Consultores[293]​,3879,44.6,42.9,3.7,6.4,1.7,2023-11-01,2023-11-06
13,3 - 5 de noviembre de 2023,Opina Argentina[294]​,2337,42.0,44.0,4.0,10.0,2.0,2023-11-03,2023-11-05
14,3 - 5 de noviembre de 2023,Solmoirago[295]​,1800,44.2,42.5,7.1,6.2,1.7,2023-11-03,2023-11-05
15,2 - 4 de noviembre de 2023,CB Consultora[296]​,2417,46.3,43.1,5.7,4.9,3.2,2023-11-02,2023-11-04
16,2 - 3 de noviembre de 2023,Explanans[297]​,4042,53.3,43.7,2.2,0.0,9.6,2023-11-02,2023-11-03
17,1 - 3 de noviembre de 2023,Analogías[298]​,2324,39.7,42.4,5.5,12.4,2.7,2023-11-01,2023-11-03
18,1 - 3 de noviembre de 2023,Atlas Intel[299]​,3218,48.5,44.7,2.9,2.5,3.8,2023-11-01,2023-11-03
19,1 - 3 de noviembre de 2023,CIGP[300]​,1798,49.6,47.0,0.0,3.4,2.6,2023-11-01,2023-11-03
20,26 de octubre - 3 de noviembre de 2023,Management & Fit[301]​,2200,47.5,44.0,2.5,3.4,3.5,2023-10-26,2023-11-03
21,26 de octubre - 3 de noviembre de 2023,Opinaia[302]​,1750,43.0,39.0,7.0,6.0,4.0,2023-10-26,2023-11-03
22,28 - 29 de octubre de 2023,Zuban Córdoba[303]​,2000,43.1,45.4,7.3,4.3,2.3,2023-10-28,2023-10-29
23,23 - 29 de octubre de 2023,Inteligencia Analítica[304]​,17395,43.3,43.1,6.3,7.3,0.2,2023-10-23,2023-10-29
24,25 - 27 de octubre de 2023,Aresco[305]​,6000,46.6,42.4,6.5,4.5,4.2,2023-10-25,2023-10-27
25,23 - 25 de octubre de 2023,Analogías[306]​,1954,34.3,42.4,5.8,17.5,8.1,2023-10-23,2023-10-25
26,23 - 24 de octubre de 2023,Proyección Consultores[307]​,1459,34.2,44.6,12.9,8.3,10.4,2023-10-23,2023-10-24
27,23 - 24 de octubre de 2023,CB Consultora[308]​,1715,41.6,40.4,10.4,7.5,1.4,2023-10-23,2023-10-24
