,Fecha,Encuestadora,Muestra,Union por la Patria,Juntos por el Cambio,La Libertad Avanza,Hacemos juntos nuestro Pais,Frente de Izquierda y Trabajadores,Otros,Blanco,Indecisos,Ventaja,Inicio,Final
0,22 de octubre de 2023,Elecciones generales,27623920,36.78,23.81,29.99,6.73,2.7,0.0,2.16,0.0,6.79,2023-10-22,2023-10-22
1,20 de octubre de 2023,Proyección Consultores[1]​,0,33.6,26.4,32.8,4.2,3.0,0.0,3.4,0.0,0.8,2023-10-20,2023-10-20
2,17 - 19 de octubre de 2023,CB Consultora[2]​,0,33.0,24.2,31.8,7.9,3.0,0.0,0.0,0.0,1.2,2023-10-17,2023-10-19
3,10 - 13 de octubre de 2023,Atlas Intel[3]​,5702,30.9,24.4,26.5,10.0,3.2,0.0,1.1,2.8,4.4,2023-10-10,2023-10-13
4,9 - 12 de octubre de 2023,Consultora Tendencias[4]​,17702,29.8,23.1,30.2,3.9,4.6,0.0,2.1,6.3,0.4,2023-10-09,2023-10-12
5,9 - 11 de octubre de 2023,Clivajes Consultores[5]​,1240,31.4,26.8,33.1,2.1,3.6,0.0,0.0,0.0,1.7,2023-10-09,2023-10-11
6,9 - 11 de octubre de 2023,Circuitos Consultora[6]​,2131,32.3,24.4,34.1,2.3,2.1,0.0,1.1,2.5,1.8,2023-10-09,2023-10-11
7,9 - 11 de octubre de 2023,CB Consultora[7]​,4069,29.1,21.8,29.9,6.0,3.4,0.0,3.2,6.6,0.8,2023-10-09,2023-10-11
8,2 - 11 de octubre de 2023,Opinaia[5]​,2000,29.0,22.0,32.0,7.0,3.0,0.0,0.0,0.0,3.0,2023-10-02,2023-10-11
9,8 - 10 de octubre de 2023,Atlas Intel[8]​,4248,30.6,25.0,25.2,11.8,3.9,0.0,0.7,2.1,5.4,2023-10-08,2023-10-10
10,7 - 10 de octubre de 2023,DC Consultores[9]​,2700,26.2,28.9,35.6,2.7,3.4,0.0,0.0,3.2,6.7,2023-10-07,2023-10-10
11,3 - 9 de octubre de 2023,Proyección Consultores[10]​,2966,30.9,23.2,35.5,3.4,2.7,0.0,0.0,4.3,4.6,2023-10-03,2023-10-09
12,5 - 8 de octubre de 2023,CIGP[11]​,1500,28.1,20.9,27.2,5.8,1.3,0.0,5.9,16.7,0.9,2023-10-05,2023-10-08
13,30 se septiembre - 7 de octubre de 2023,Giacobbe & Asociados[12]​,2500,28.5,27.3,32.9,4.2,3.3,0.0,0.0,3.8,4.4,2023-09-30,2023-10-07
14,2 - 5 de octubre de 2023,Fixer[13]​,2506,26.1,25.4,34.3,5.5,3.1,0.0,0.0,0.0,8.2,2023-10-02,2023-10-05
15,3 - 4 de octubre de 2023,Zuban Córdoba & Asociados[14]​,1400,32.7,25.0,34.7,2.7,1.6,0.0,0.8,1.4,2.0,2023-10-03,2023-10-04
16,28 de septiembre - 3 de octubre de 2023,Reale Dalla Torre[15]​[16]​,2615,24.7,21.8,36.2,5.0,3.8,0.0,0.0,8.5,11.5,2023-09-28,2023-10-03
17,21 - 29 de septiembre de 2023,Aresco[14]​,1200,32.1,25.9,35.0,4.7,2.3,0.0,3.9,2.1,2.9,2023-09-21,2023-09-29
18,25 - 28 de septiembre de 2023,CB Consultora[17]​,4072,28.9,23.7,32.2,3.1,2.1,0.0,3.8,6.2,3.3,2023-09-25,2023-09-28
19,20 - 25 de septiembre de 2023,Atlas Intel[18]​,3778,30.7,27.7,27.9,4.8,2.1,0.0,1.8,3.8,2.8,2023-09-20,2023-09-25
20,20 - 25 de septiembre de 2023,Circuitos Consultora[19]​,2188,31.2,24.8,34.6,1.9,1.8,0.0,2.4,2.2,3.4,2023-09-20,2023-09-25
21,14 - 25 de septiembre de 2023,UdeSA[20]​,1000,29.8,26.4,34.7,6.0,3.0,0.0,3.8,0.0,4.9,2023-09-14,2023-09-25
22,22 de septiembre de 2023,Aresco[21]​,0,30.1,23.0,35.5,2.8,2.8,0.0,4.2,1.6,5.4,2023-09-22,2023-09-22
23,16 - 21 de septiembre de 2023,Proyección Consultores[21]​,2260,29.1,24.2,33.7,2.6,2.3,0.0,4.1,8.1,4.6,2023-09-16,2023-09-21
24,11 - 20 de septiembre de 2023,Opinaia[22]​,2000,26.0,23.0,33.0,5.0,3.0,0.0,3.0,7.0,7.0,2023-09-11,2023-09-20
25,1 - 20 de septiembre de 2023,CELAG[23]​,2509,32.2,28.1,33.2,3.6,2.9,0.0,0.0,0.0,1.0,2023-09-01,2023-09-20
26,9 - 18 de septiembre de 2023,Giacobbe & Asociados[24]​,2500,27.4,27.8,33.9,3.0,2.5,0.0,1.2,4.2,6.1,2023-09-09,2023-09-18
27,4 - 10 de septiembre de 2023,Opina Argentina[25]​,2359,29.0,25.0,34.0,2.0,3.0,0.0,4.0,3.0,5.0,2023-09-04,2023-09-10
28,6 - 8 de septiembre de 2023,Federico González y Asociados[26]​,2400,29.4,29.7,33.1,4.0,3.9,0.0,4.7,7.1,3.4,2023-09-06,2023-09-08
29,3 - 5 de septiembre de 2023,Analogías[27]​,2398,28.1,21.2,31.1,2.1,3.4,0.0,2.1,11.4,3.0,2023-09-03,2023-09-05
30,29 de agosto - 4 de septiembre de 2023,Synopsis[28]​,2653,30.6,25.8,36.0,2.4,1.8,0.0,0.7,2.6,5.4,2023-08-29,2023-09-04
31,1 - 3 de septiembre de 2023,Consultora Tendencias[29]​,25704,28.5,22.7,33.2,2.9,4.4,0.0,1.9,6.4,3.7,2023-09-01,2023-09-03
32,Septiembre de 2023,Escenarios[30]​,1797,25.8,17.8,37.3,5.0,1.2,0.0,3.8,6.2,11.5,2023-09-01,2023-09-01
33,Septiembre de 2023,CEOP[31]​,1335,32.2,24.9,34.1,3.0,1.6,0.0,2.1,1.6,1.9,2023-09-01,2023-09-01
34,22 - 31 de agosto de 2023,Opinión Lab[32]​,1006,20.5,16.1,28.1,4.0,3.0,0.0,5.1,13.4,7.6,2023-08-22,2023-08-31
35,22 - 30 de agosto de 2023,CEOP[33]​,1441,30.6,24.8,34.2,2.2,0.8,0.0,2.3,4.6,3.6,2023-08-22,2023-08-30
36,13 - 25 de agosto de 2023,Opinaia[34]​,2000,25.0,23.0,35.0,5.0,3.0,0.0,4.0,5.0,10.0,2023-08-13,2023-08-25
37,18 - 21 de agosto de 2023,Analogías[34]​,2523,26.8,20.9,32.1,3.2,4.9,0.0,2.3,9.9,5.3,2023-08-18,2023-08-21
38,16 - 18 de agosto de 2023,DC Consultores[35]​,2100,23.1,24.7,34.0,0.0,0.0,0.0,2.4,15.8,9.3,2023-08-16,2023-08-18
39,16 - 17 de agosto de 2023,OPSA[36]​,4623,32.3,23.7,38.5,3.2,2.3,0.0,0.0,0.0,6.2,2023-08-16,2023-08-17
40,14 - 16 de agosto de 2023,CB Consultora[37]​,4340,28.1,25.3,32.3,3.8,1.8,0.0,3.2,5.4,4.2,2023-08-14,2023-08-16
41,13 de agosto de 2023,Elecciones primarias,24625774,27.28,28.0,29.86,3.71,2.61,3.04,5.51,0.0,1.86,2023-08-13,2023-08-13
42,31 de julio - 4 de agosto de 2023,Atlas Intel[38]​,9517,30.8,31.9,20.8,4.4,3.4,2.9,2.4,3.5,1.1,2023-07-31,2023-08-04
43,31 de julio - 3 de agosto de 2023,Federico González & Asociados[39]​,2400,30.1,36.4,19.5,3.2,2.5,5.0,3.1,0.0,6.3,2023-07-31,2023-08-03
