La Libertad Avanza,Union por la Patria,Inicio,Final
49.59,50.41,2023-11-13,2023-11-13
56.4,43.6,2023-11-10,2023-11-11
52.15,47.85,2023-11-05,2023-11-09
53.97,46.03,2023-11-07,2023-11-08
48.78,51.22,2023-11-06,2023-11-08
52.22,47.78,2023-11-06,2023-11-08
51.86,48.14,2023-11-04,2023-11-06
49.24,50.76,2023-10-25,2023-11-08
52.9,47.1,2023-11-03,2023-11-07
50.97,49.03,2023-11-01,2023-11-06
48.84,51.16,2023-11-03,2023-11-05
51.79,48.21,2023-11-02,2023-11-04
54.95,45.05,2023-11-02,2023-11-03
48.36,51.64,2023-11-01,2023-11-03
52.04,47.96,2023-11-01,2023-11-03
51.91,48.09,2023-10-26,2023-11-03
48.7,51.3,2023-10-28,2023-10-29
52.36,47.64,2023-10-25,2023-10-27
