Union por la Patria,Juntos por el Cambio,La Libertad Avanza,Hacemos juntos nuestro Pais,Frente de Izquierda y Trabajadores,Inicio,Final
32.37,27.63,34.12,2.16,3.71,2023-10-09,2023-10-11
33.93,25.63,35.82,2.42,2.21,2023-10-09,2023-10-11
32.26,24.17,33.15,6.65,3.77,2023-10-09,2023-10-11
31.18,23.66,34.41,7.53,3.23,2023-10-02,2023-10-11
31.71,25.91,26.11,12.23,4.04,2023-10-08,2023-10-10
27.07,29.86,36.78,2.79,3.51,2023-10-07,2023-10-10
32.29,24.24,37.1,3.55,2.82,2023-10-03,2023-10-09
29.63,28.38,34.2,4.37,3.43,2023-09-30,2023-10-07
27.65,26.91,36.33,5.83,3.28,2023-10-02,2023-10-05
33.82,25.85,35.88,2.79,1.65,2023-10-03,2023-10-04
26.99,23.83,39.56,5.46,4.15,2023-09-28,2023-10-03
32.1,25.9,35.0,4.7,2.3,2023-09-21,2023-09-29
32.11,26.33,35.78,3.44,2.33,2023-09-25,2023-09-28
32.94,29.72,29.94,5.15,2.25,2023-09-20,2023-09-25
33.09,26.3,36.69,2.01,1.91,2023-09-20,2023-09-25
29.83,26.43,34.73,6.01,3.0,2023-09-14,2023-09-25
31.66,26.33,36.67,2.83,2.5,2023-09-16,2023-09-21
28.89,25.56,36.67,5.56,3.33,2023-09-11,2023-09-20
32.2,28.1,33.2,3.6,2.9,2023-09-01,2023-09-20
28.96,29.39,35.84,3.17,2.64,2023-09-09,2023-09-18
31.18,26.88,36.56,2.15,3.23,2023-09-04,2023-09-10
29.37,29.67,33.07,4.0,3.9,2023-09-06,2023-09-08
32.71,24.68,36.2,2.44,3.96,2023-09-03,2023-09-05
31.68,26.71,37.27,2.48,1.86,2023-08-29,2023-09-04
29.62,20.44,42.82,5.74,1.38,2023-09-01,2023-09-01
33.61,25.99,35.59,3.13,1.67,2023-09-01,2023-09-01
28.59,22.45,39.19,5.58,4.18,2023-08-22,2023-08-31
33.05,26.78,36.93,2.38,0.86,2023-08-22,2023-08-30
27.47,25.27,38.46,5.49,3.3,2023-08-13,2023-08-25
