,a24noticias_means,canal26_means,filonewsok_means,canal9oficial_means,diario.ole_means,infobae_means,lanacioncom_means,pagina12_means,tv_publica_means,c5n_means,clarincom_means,todonoticias_means,eldestapeweb_means,cronicaweb_means,minutouno_means,a24noticias_amount,canal26_amount,filonewsok_amount,canal9oficial_amount,diario.ole_amount,infobae_amount,lanacioncom_amount,pagina12_amount,tv_publica_amount,c5n_amount,clarincom_amount,todonoticias_amount,eldestapeweb_amount,cronicaweb_amount,minutouno_amount,Target
0,1.0,0.0,1617.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,12972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13394.0,2.0,16938.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01080432172869146
2,935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011731391585760484
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011051985264019631
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8949.0,0.0,1.0,8731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019039735099337783
5,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,858.0,4094.0,171763.0,9670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010126582278480947
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,171763.0,1.0,8836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001278772378516521
7,0.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,1580.0,1.0,3.0,0.0,1.0,1.0,6580.0,0.0,3714.0,6585.333333333333,0.0,12732.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01277139208173694
8,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,1.0,3.0,4999.666666666667,1.0,0.0,3714.0,8004.0,0.0,12732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010508617065994116
9,1.0,1.0,0.0,0.0,0.0,6.0,5.0,1.0,11755.0,1.0,3.0,0.0,1.0,5749.4,12494.0,0.0,3714.0,8847.666666666666,0.0,12732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01247920133111484
10,1.0,1.0,0.0,3718.0,11755.0,4.0,0.0,0.0,6125.5,0.0,1.0,0.0,0.0,7173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014379622021364068
11,6.0,2.0,1.0,0.0,0.0,8.0,25.0,3.0,0.0,3.0,16.0,3.0,3.0,0.0,6117.875,7544.76,4606.0,0.0,2415.3333333333335,7555.625,20755.333333333332,6914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01579586877278238
12,2.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,5.0,10319.666666666666,1.0,0.0,0.0,6930.6,0.0,4696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016347687400318986
13,1.0,0.0,1.0,0.0,0.0,5.0,7.0,2.0,1.0,0.0,4.0,1.0,1.0,9060.0,4453.857142857143,3318.0,1622.0,0.0,9031.0,27163.0,11431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05139270302079256
14,0.0,0.0,0.0,0.0,0.0,0.0,5582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015671641791044705
