a24noticias_means,canal26_means,filonewsok_means,canal9oficial_means,diario.ole_means,infobae_means,lanacioncom_means,pagina12_means,tv_publica_means,c5n_means,clarincom_means,todonoticias_means,eldestapeweb_means,cronicaweb_means,minutouno_means,a24noticias_amount,canal26_amount,filonewsok_amount,canal9oficial_amount,diario.ole_amount,infobae_amount,lanacioncom_amount,pagina12_amount,tv_publica_amount,c5n_amount,clarincom_amount,todonoticias_amount,eldestapeweb_amount,cronicaweb_amount,minutouno_amount,Target
12.0,1.0,5.0,0.0,0.0,9.0,11.0,12.0,5.0,6.0,16.0,13.0,8.0,11.0,0.0,0.0,11125.56,7613.55,14315.33,1892.4,7018.0,12940.62,25620.31,9492.12,2916.45,0.0,0.0,0.0,0.0,0.0,0.0
12.0,5.0,9.0,0.0,0.0,15.0,37.0,39.0,7.0,21.0,33.0,18.0,24.0,14.0,0.0,0.0,15777.93,8750.35,12969.49,5403.57,11345.38,7701.15,29402.56,11576.38,2842.29,0.0,0.0,0.0,0.0,0.0,0.014597039473684228
1.0,2.0,2.0,0.0,0.0,3.0,8.0,10.0,3.0,7.0,11.0,8.0,10.0,4.0,0.0,0.0,19581.33,6099.5,8920.3,4664.33,12880.0,5250.18,28939.12,13143.6,5409.5,0.0,0.0,0.0,0.0,0.0,-0.0006079027355623331
1.0,3.0,2.0,0.0,0.0,5.0,19.0,16.0,3.0,8.0,19.0,9.0,15.0,8.0,0.0,0.0,13531.8,9974.16,10462.0,4664.33,14329.38,6187.63,26359.44,11986.73,3481.62,0.0,0.0,0.0,0.0,0.0,-0.004257907542579093
0.0,1.0,1.0,0.0,0.0,1.0,4.0,6.0,1.0,1.0,5.0,4.0,5.0,2.0,0.0,19132.0,3734.5,8038.67,11711.0,14447.0,5044.8,23654.0,16212.4,3681.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0059051109753614165
0.0,2.0,1.0,0.0,0.0,2.0,11.0,8.0,1.0,2.0,10.0,5.0,8.0,5.0,0.0,10689.0,7561.36,9359.5,11711.0,19461.0,3527.4,20067.6,14092.88,2703.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.006964358869315924
0.0,1.0,0.0,0.0,0.0,1.0,8.0,5.0,0.0,1.0,5.0,1.0,4.0,4.0,12587.25,14488.8,0.0,24475.0,2010.0,5722.0,9300.75,1553.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007219471947194603
3.0,2.0,2.0,1.0,0.0,5.0,19.0,13.0,2.0,5.0,12.0,1.0,8.0,5.0,1.0,9835.0,158.0,0.0,6575.4,11198.58,12774.85,604.0,9501.6,7385.67,5722.0,12849.38,1839.4,1323.0,0.0,0.0,-0.006856430500727309
0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,3.0,18119.0,2.0,1.0,0.0,16587.67,0.0,8342.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005857740585773934
7.0,1.0,3.0,1.0,0.0,10.0,25.0,13.0,3.0,7.0,12.0,1.0,10.0,4.0,2.0,9173.0,158.0,0.0,12322.7,9760.12,12105.62,935.0,5076.43,8867.25,14473.0,16792.5,1481.75,809.5,0.0,0.0,-0.0042087542087542685
4.0,1.0,2.0,1.0,0.0,7.0,15.0,10.0,2.0,6.0,6.0,1.0,6.0,3.0,2.0,9835.0,158.0,0.0,10500.43,7561.27,11774.1,604.0,4886.33,6608.33,14473.0,14230.17,1803.33,809.5,0.0,0.0,-0.002113271344040605
1.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,0.0,2.0,2.0,1.0,3.0,2.0,1.0,5908.43,9952.33,0.0,3142.5,5417.5,14473.0,10317.0,1214.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008470986869970171
1.0,0.0,1.0,0.0,0.0,1.0,3.0,5.0,1.0,4.0,5164.0,0.0,2.0,2.0,8547.33,11081.0,1339.0,14236.25,0.0,0.0,28905.5,837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042319085907745
