a24noticias_means,canal26_means,filonewsok_means,canal9oficial_means,diario.ole_means,infobae_means,lanacioncom_means,pagina12_means,tv_publica_means,c5n_means,clarincom_means,todonoticias_means,eldestapeweb_means,cronicaweb_means,minutouno_means,a24noticias_amount,canal26_amount,filonewsok_amount,canal9oficial_amount,diario.ole_amount,infobae_amount,lanacioncom_amount,pagina12_amount,tv_publica_amount,c5n_amount,clarincom_amount,todonoticias_amount,eldestapeweb_amount,cronicaweb_amount,minutouno_amount,Target
2.0,1.0,1.0,0.0,0.0,3.0,4.0,1.0,1241.0,7750.0,7.0,0.0,2.0,3214.0,2235.0,0.0,0.0,6878.43,0.0,7885.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0,1.0,3.0,7750.0,0.0,0.0,6.0,3858.0,2.0,0.0,0.0,5569.83,0.0,7885.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008113059408531857
1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,4023.5,1.0,0.0,0.0,5726.0,0.0,2826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005540897097625353
0.0,0.0,0.0,0.0,0.0,4.0,0.0,5729.25,0.0,0.0,5.0,0.0,1.0,0.0,3281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003979835500132624
0.0,1.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,11030.33,4.0,8949.0,0.0,0.0,4623.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005327650506126685
2.0,0.0,0.0,0.0,0.0,7.0,12.0,2.0,0.0,1.0,8.0,8750.0,3.0,2679.5,0.0,7280.0,6421.12,0.0,7372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0042849491162293436
0.0,0.0,0.0,0.0,0.0,2.0,3572.5,0.0,0.0,0.0,0.0,0.0,2.0,7010.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005110274341043511
0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,5.0,4.0,1.0,0.0,1258.4,7968.75,111349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007569613409029498
0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,5.0,4.0,1.0,0.0,1258.4,6845.0,111349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004903296104603642
4.0,0.0,2.0,0.0,0.0,2.0,8.0,1.0,655.75,8.0,6.0,2.0,0.0,1.0,4713.5,4752.0,0.0,2007.88,4205.33,69193.5,0.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005201204489460655
4.0,0.0,2.0,0.0,0.0,2.0,5.0,1.0,655.75,4.0,4.0,1.0,0.0,1.0,4872.2,4752.0,0.0,3225.75,3840.0,27038.0,0.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006053935057787726
11.0,6.0,7.0,3.0,0.0,21.0,46.0,3.0,0.0,17.0,35.0,7.0,8.0,3.0,37.67,0.0,7883.14,7324.7,5470.33,0.0,2886.59,7184.46,27979.43,2581.12,2507.0,0.0,0.0,0.0,0.0,0.0,-0.006367663344407444
1.0,0.0,0.0,0.0,612.0,1.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,2753.0,6268.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00668709947060468
4.0,2.0,3.0,2.0,0.0,8.0,16.0,3.0,0.0,6.0,10.0,1.0,5.0,1.0,42.5,0.0,4407.0,4617.75,6436.0,0.0,2014.67,5354.4,7829.0,1822.2,709.0,0.0,0.0,0.0,0.0,0.0,-0.021037868162692847
0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,8267.0,5226.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006876790830945616
4.0,3.0,5.0,1.0,0.0,9.0,17.0,3.0,0.0,6.0,8.0,645.33,6.0,1.0,0.0,4030.0,4825.18,6436.0,0.0,2014.67,5387.38,0.0,1814.33,709.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006347374495095179
4.0,3.0,5.0,1.0,0.0,9.0,14.0,3.0,0.0,5.0,7.0,645.33,6.0,1.0,0.0,4030.0,4212.64,6436.0,0.0,764.2,4922.71,0.0,1814.33,709.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0060975609756097815
3.0,1.0,2.0,0.0,0.0,5.0,4.0,3.0,0.0,5.0,3.0,3794.0,5.0,1.0,6331.6,4500.5,6436.0,0.0,764.2,3927.33,0.0,1822.2,709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005258545135845742
1.0,2.0,4.0,0.0,0.0,5.0,7.0,2.0,308.0,2.0,6.0,0.0,5.0,4770.2,6779.0,3318.0,0.0,342.5,6306.5,0.0,2026.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004405286343612294
8.0,3.0,5.0,0.0,0.0,19.0,22.0,1.0,0.0,7.0,8.0,5.0,8.0,3.0,0.0,7814.37,6119.0,3032.0,0.0,4200.86,8703.75,25149.4,4058.5,1630.33,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038348082595868866
1.0,1.0,3.0,0.0,0.0,7.0,11.0,1.0,0.0,4.0,2.0,2.0,2.0,1.0,0.0,12739.71,8353.45,3032.0,0.0,6275.0,13447.5,18262.0,1543.0,2543.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023689665383478057
0.0,0.0,1.0,0.0,0.0,1.0,4.0,9312.0,0.0,1.0,5156.0,4680.75,1.0,1.0,10247.0,0.0,0.0,2255.0,2543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017809439002669982
3.0,0.0,3.0,0.0,0.0,10.0,10.0,2.0,790.0,11.0,2288.0,3.0,7.0,2.0,6399.9,12406.0,0.0,3209.0,0.0,8383.67,3665.57,1012.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002973535533751149
3.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,10.0,0.0,3.0,7.0,2.0,0.0,2672.9,0.0,8383.67,3665.57,1012.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002974419988103842
2.0,1.0,3.0,0.0,1.0,12.0,13.0,3.0,0.0,12.0,3.0,1.0,11.0,1.0,0.0,11295.0,5596.92,5614.0,1928.0,0.0,1670.5,3487.33,13449.0,2709.18,1302.0,0.0,0.0,0.0,0.0,0.0,0.001784121320249633
0.0,1.0,3.0,0.0,0.0,9.0,6.0,3.0,494.0,6.0,3.0,0.0,7.0,4679.5,1928.0,0.0,1547.67,3487.33,0.0,2591.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002968239833778612
0.0,2.0,2.0,0.0,1.0,6.0,5.0,2.0,0.0,6.0,4.0,0.0,7.0,3551.0,5035.0,1589.5,0.0,1547.67,4203.75,0.0,2656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003847292098253997
0.0,1.0,1.0,0.0,1.0,3.0,4.0,0.0,391.0,3.0,2.0,11295.0,3.0,3747.25,0.0,0.0,2014.67,4103.5,0.0,2612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005011792452830239
0.0,1.0,2.0,0.0,0.0,5.0,6.0,1.0,391.0,2.0,2.0,0.0,1.0,4597.0,1498.0,0.0,2608.0,6924.5,0.0,1469.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005573481959518853
2.0,3.0,3.0,1.0,0.0,19.0,19.0,2.0,0.0,3.0,7.0,411.0,6.0,2.0,0.0,5560.68,7816.47,3232.0,0.0,2053.67,5125.14,0.0,2796.83,1668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006709451575262452
0.0,1.0,2.0,0.0,0.0,5.0,9.0,1.0,4612.0,2.0,2.0,13568.2,6482.0,1498.0,0.0,2608.0,6924.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072442770211532895
0.0,1.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,3.0,2325.25,1.0,1.0,0.0,5117.0,0.0,856.0,3050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007767548906789504
8.0,3.0,3.0,1.0,0.0,18.0,14.0,1.0,1.0,3.0,10.0,395.75,11.0,4.0,28.0,0.0,4036.06,7028.79,4966.0,56.0,926.67,6716.5,0.0,2793.91,1527.0,0.0,0.0,0.0,0.0,0.0,0.008564087924635946
0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1402.0,20374.33,2.0,0.0,1.0,3338.0,0.0,7376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008491367110104849
7.0,2.0,2.0,0.0,0.0,6.0,5.0,1.0,1.0,6.0,7.0,1.0,8.0,3.0,0.0,0.0,6442.67,1862.6,6996.0,56.0,819.0,8008.43,2111.0,2555.25,1019.33,0.0,0.0,0.0,0.0,0.0,0.0087005332584899
4.0,1.0,2.0,0.0,0.0,7.0,5.0,1.0,0.0,6.0,7.0,2.0,3.0,0.0,3216.29,2326.2,6996.0,0.0,770.33,7795.57,10355.5,3681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008903728436282702
3.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,1.0,2.0,3.0,3.0,3.0,3.0,4700.5,1751.75,0.0,154.0,3303.0,2817.33,7678.33,8062.0,828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008825151682294547
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,6.0,1.0,2.0,4.0,41672.0,8534.0,197.0,0.0,3105.33,7033.0,6388.0,2331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008474576271186503
3.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,1.0,5.0,0.0,2.0,2.0,7240.0,240.0,1348.0,3045.2,0.0,6757.5,4431.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008132285172133292
5.0,0.0,1.0,0.0,0.0,7.0,0.0,3.0,1.0,3.0,5.0,0.0,5.0,2.0,0.0,7300.0,240.0,1564.0,3045.2,0.0,4007.8,4431.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007528905619790297
2.0,0.0,0.0,0.0,0.0,3.0,469.5,1.0,0.0,1.0,3.0,2473.33,2.0,2.0,0.0,1348.0,2278.67,0.0,6757.5,4431.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006938884440885989
14.0,0.0,1.0,1.0,0.0,12.0,12.0,2.0,1.0,6.0,8.0,2.0,7.0,2.0,28.0,0.0,5540.42,7931.75,6683.0,201.0,1581.17,2725.0,10269.5,4070.43,4431.5,0.0,0.0,0.0,0.0,0.0,0.006095944871455181
