a24noticias_means,canal26_means,filonewsok_means,canal9oficial_means,diario.ole_means,infobae_means,lanacioncom_means,pagina12_means,tv_publica_means,c5n_means,clarincom_means,todonoticias_means,eldestapeweb_means,cronicaweb_means,minutouno_means,a24noticias_amount,canal26_amount,filonewsok_amount,canal9oficial_amount,diario.ole_amount,infobae_amount,lanacioncom_amount,pagina12_amount,tv_publica_amount,c5n_amount,clarincom_amount,todonoticias_amount,eldestapeweb_amount,cronicaweb_amount,minutouno_amount,Target
2.0,1.0,1.0,0.0,1.0,2.0,6.0,1.0,0.0,2211.5,6.0,1.0,2.0,24227.0,5569.0,2526.33,13214.0,0.0,0.0,8992.33,29317.0,4049.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0,0.0,1.0,2.0,3.0,1675.0,0.0,0.0,4.0,5569.0,1.0,0.0,0.0,0.0,7136.75,0.0,3479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021112600536192995
1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,27979.5,1.0,5.0,0.0,0.0,1477.0,3813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017065966524450266
2.0,1.0,1.0,0.0,2.0,2.0,3.0,493.0,2599.0,1.0,9.0,22316.5,1563.5,1621.0,0.0,0.0,20790.0,2487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013875443691513497
2.0,1.0,2.0,0.0,5.0,4.0,7.0,0.0,0.0,2.0,9.0,1.0,1.0,22564.0,6206.5,915.14,0.0,0.0,11531.5,6963.33,17162.0,3957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019414385741565864
1.0,0.0,1.0,0.0,4.0,1.0,5.0,673.0,0.0,3757.0,15.0,1.0,2.0,3186.0,0.0,0.0,0.0,4402.53,25437.0,6220.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01030284108648137
0.0,1.0,1.0,0.0,0.0,0.0,1.0,781.0,1.0,0.0,3.0,2166.0,1.0,43.0,0.0,9048.67,0.0,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027812113720643824
3.0,2.0,3.0,0.0,0.0,1.0,2.0,346.0,351.5,3.0,3.0,0.0,4.0,1091.5,0.0,0.0,7653.33,3117.0,0.0,2799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033898305084745584
5.0,3.0,4.0,0.0,0.0,3.0,5.0,539.4,490.33,3.0,3.0,0.0,5.0,1591.2,0.0,0.0,4450.67,3117.0,0.0,2679.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003401360544217889
4.0,4.0,4.0,0.0,2.0,8.0,8.0,1.0,0.0,2.0,8.0,7254.5,4.0,14453.5,2563.0,1506.88,1302.0,0.0,6610.0,2460.0,0.0,2357.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004343779087806189
1.0,2.0,1.0,0.0,1.0,3.0,4.0,163.0,405.0,17331.0,6.0,9532.0,1.0,1258.75,0.0,0.0,0.0,2647.0,0.0,2771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005297600498597747
