La Libertad Avanza,Union por la Patria,Fuente,fecha_mediana,La Libertad Avanza_Encuestas,Union por la Patria_Encuestas,dia,mes,anio
1256.0,573.5,1,2023-11-19 00:00:00,55.7,44.3,19,11,2023
2135.5,986.0,2,2023-11-19 00:00:00,55.7,44.3,19,11,2023
6795.0,5891.0,3,2023-11-19 00:00:00,55.7,44.3,19,11,2023
0.0,0.0,4,2023-11-19 00:00:00,55.7,44.3,19,11,2023
0.0,0.0,5,2023-11-19 00:00:00,55.7,44.3,19,11,2023
8441.0,4078.0,6,2023-11-19 00:00:00,55.7,44.3,19,11,2023
8888.0,4461.0,7,2023-11-19 00:00:00,55.7,44.3,19,11,2023
3170.0,3714.5,8,2023-11-19 00:00:00,55.7,44.3,19,11,2023
922.0,767.0,9,2023-11-19 00:00:00,55.7,44.3,19,11,2023
7264.0,5661.0,10,2023-11-19 00:00:00,55.7,44.3,19,11,2023
4328.0,2813.0,11,2023-11-19 00:00:00,55.7,44.3,19,11,2023
5530.0,6964.0,12,2023-11-19 00:00:00,55.7,44.3,19,11,2023
2187.0,2992.5,13,2023-11-19 00:00:00,55.7,44.3,19,11,2023
866.0,858.0,14,2023-11-19 00:00:00,55.7,44.3,19,11,2023
369.5,650.0,15,2023-11-19 00:00:00,55.7,44.3,19,11,2023
588.0,401.5,1,2023-11-13 00:00:00,47.9,48.7,13,11,2023
1984.5,1582.0,2,2023-11-13 00:00:00,47.9,48.7,13,11,2023
4280.0,4280.0,3,2023-11-13 00:00:00,47.9,48.7,13,11,2023
484.5,858.0,4,2023-11-13 00:00:00,47.9,48.7,13,11,2023
0.0,0.0,5,2023-11-13 00:00:00,47.9,48.7,13,11,2023
8575.0,6340.5,6,2023-11-13 00:00:00,47.9,48.7,13,11,2023
6439.0,3288.0,7,2023-11-13 00:00:00,47.9,48.7,13,11,2023
4933.0,4768.0,8,2023-11-13 00:00:00,47.9,48.7,13,11,2023
882.5,834.0,9,2023-11-13 00:00:00,47.9,48.7,13,11,2023
3128.0,3763.0,10,2023-11-13 00:00:00,47.9,48.7,13,11,2023
3491.0,2262.0,11,2023-11-13 00:00:00,47.9,48.7,13,11,2023
10454.0,13206.0,12,2023-11-13 00:00:00,47.9,48.7,13,11,2023
5384.5,5874.0,13,2023-11-13 00:00:00,47.9,48.7,13,11,2023
1003.0,987.0,14,2023-11-13 00:00:00,47.9,48.7,13,11,2023
1758.0,1758.0,15,2023-11-13 00:00:00,47.9,48.7,13,11,2023
0.0,2384.0,1,2023-11-10 00:00:00,56.4,43.6,10,11,2023
0.0,0.0,2,2023-11-10 00:00:00,56.4,43.6,10,11,2023
5164.0,5164.0,3,2023-11-10 00:00:00,56.4,43.6,10,11,2023
215.0,0.0,4,2023-11-10 00:00:00,56.4,43.6,10,11,2023
0.0,0.0,5,2023-11-10 00:00:00,56.4,43.6,10,11,2023
7711.5,4818.5,6,2023-11-10 00:00:00,56.4,43.6,10,11,2023
7217.0,6945.0,7,2023-11-10 00:00:00,56.4,43.6,10,11,2023
9195.0,7912.0,8,2023-11-10 00:00:00,56.4,43.6,10,11,2023
2988.0,2988.0,9,2023-11-10 00:00:00,56.4,43.6,10,11,2023
9597.0,10708.0,10,2023-11-10 00:00:00,56.4,43.6,10,11,2023
4141.0,4066.0,11,2023-11-10 00:00:00,56.4,43.6,10,11,2023
22872.0,0.0,12,2023-11-10 00:00:00,56.4,43.6,10,11,2023
7269.0,10546.0,13,2023-11-10 00:00:00,56.4,43.6,10,11,2023
828.0,762.5,14,2023-11-10 00:00:00,56.4,43.6,10,11,2023
0.0,0.0,15,2023-11-10 00:00:00,56.4,43.6,10,11,2023
511.0,751.0,1,2023-11-07 00:00:00,43.2,45.9,7,11,2023
0.0,3075.0,2,2023-11-07 00:00:00,43.2,45.9,7,11,2023
5052.0,6450.5,3,2023-11-07 00:00:00,43.2,45.9,7,11,2023
989.5,158.0,4,2023-11-07 00:00:00,43.2,45.9,7,11,2023
0.0,0.0,5,2023-11-07 00:00:00,43.2,45.9,7,11,2023
10829.0,8826.0,6,2023-11-07 00:00:00,43.2,45.9,7,11,2023
8530.0,7541.5,7,2023-11-07 00:00:00,43.2,45.9,7,11,2023
