La Libertad Avanza,Union por la Patria,Fuente,fecha_mediana,La Libertad Avanza_Encuestas,Union por la Patria_Encuestas,dia,mes
1090.0,630.0,1,2023-10-23,36.58664843928081,42.08578263841435,23,10
3250.0,2270.0,2,2023-10-23,36.58664843928081,42.08578263841435,23,10
10578.0,9760.0,3,2023-10-23,36.58664843928081,42.08578263841435,23,10
0.0,0.0,4,2023-10-23,36.58664843928081,42.08578263841435,23,10
0.0,0.0,5,2023-10-23,36.58664843928081,42.08578263841435,23,10
5929.5,4739.0,6,2023-10-23,36.58664843928081,42.08578263841435,23,10
9741.0,4037.0,7,2023-10-23,36.58664843928081,42.08578263841435,23,10
7612.5,6357.0,8,2023-10-23,36.58664843928081,42.08578263841435,23,10
1331.5,1408.0,9,2023-10-23,36.58664843928081,42.08578263841435,23,10
5450.0,7853.5,10,2023-10-23,36.58664843928081,42.08578263841435,23,10
5098.0,3601.0,11,2023-10-23,36.58664843928081,42.08578263841435,23,10
17204.0,22535.0,12,2023-10-23,36.58664843928081,42.08578263841435,23,10
14478.0,14548.0,13,2023-10-23,36.58664843928081,42.08578263841435,23,10
3053.0,2068.0,14,2023-10-23,36.58664843928081,42.08578263841435,23,10
0.0,0.0,15,2023-10-23,36.58664843928081,42.08578263841435,23,10
1078.0,738.0,1,2023-10-23,39.21138072453937,42.755912508544206,23,10
3444.5,2644.0,2,2023-10-23,39.21138072453937,42.755912508544206,23,10
11687.0,11082.0,3,2023-10-23,39.21138072453937,42.755912508544206,23,10
0.0,0.0,4,2023-10-23,39.21138072453937,42.755912508544206,23,10
0.0,0.0,5,2023-10-23,39.21138072453937,42.755912508544206,23,10
9209.0,5196.0,6,2023-10-23,39.21138072453937,42.755912508544206,23,10
8447.5,4279.5,7,2023-10-23,39.21138072453937,42.755912508544206,23,10
7251.5,6685.0,8,2023-10-23,39.21138072453937,42.755912508544206,23,10
1412.5,1386.0,9,2023-10-23,39.21138072453937,42.755912508544206,23,10
5968.0,7165.5,10,2023-10-23,39.21138072453937,42.755912508544206,23,10
5177.5,3601.0,11,2023-10-23,39.21138072453937,42.755912508544206,23,10
16016.0,17308.0,12,2023-10-23,39.21138072453937,42.755912508544206,23,10
14446.0,14123.0,13,2023-10-23,39.21138072453937,42.755912508544206,23,10
2289.0,2133.0,14,2023-10-23,39.21138072453937,42.755912508544206,23,10
0.0,0.0,15,2023-10-23,39.21138072453937,42.755912508544206,23,10
1228.0,809.0,1,2023-10-25,41.35614481837463,43.259676597912,25,10
3360.0,2807.5,2,2023-10-25,41.35614481837463,43.259676597912,25,10
11082.0,11082.0,3,2023-10-25,41.35614481837463,43.259676597912,25,10
976.0,0.0,4,2023-10-25,41.35614481837463,43.259676597912,25,10
0.0,0.0,5,2023-10-25,41.35614481837463,43.259676597912,25,10
8372.5,5929.5,6,2023-10-25,41.35614481837463,43.259676597912,25,10
8021.0,4540.5,7,2023-10-25,41.35614481837463,43.259676597912,25,10
7055.0,7168.0,8,2023-10-25,41.35614481837463,43.259676597912,25,10
1814.0,1461.0,9,2023-10-25,41.35614481837463,43.259676597912,25,10
5450.0,7165.5,10,2023-10-25,41.35614481837463,43.259676597912,25,10
5287.0,4209.5,11,2023-10-25,41.35614481837463,43.259676597912,25,10
16066.0,13401.0,12,2023-10-25,41.35614481837463,43.259676597912,25,10
10701.0,12510.0,13,2023-10-25,41.35614481837463,43.259676597912,25,10
2133.0,2068.0,14,2023-10-25,41.35614481837463,43.259676597912,25,10
0.0,0.0,15,2023-10-25,41.35614481837463,43.259676597912,25,10
1228.0,1078.0,1,2023-10-26,43.0715204343307,43.61885931406064,26,10
3360.0,3360.0,2,2023-10-26,43.0715204343307,43.61885931406064,26,10
13246.5,14987.0,3,2023-10-26,43.0715204343307,43.61885931406064,26,10
0.0,0.0,4,2023-10-26,43.0715204343307,43.61885931406064,26,10
0.0,0.0,5,2023-10-26,43.0715204343307,43.61885931406064,26,10
11338.5,8188.0,6,2023-10-26,43.0715204343307,43.61885931406064,26,10
6746.0,4638.0,7,2023-10-26,43.0715204343307,43.61885931406064,26,10
5207.0,8099.5,8,2023-10-26,43.0715204343307,43.61885931406064,26,10
1987.0,1814.0,9,2023-10-26,43.0715204343307,43.61885931406064,26,10
5787.0,4127.5,10,2023-10-26,43.0715204343307,43.61885931406064,26,10
6303.0,4522.0,11,2023-10-26,43.0715204343307,43.61885931406064,26,10
16066.0,11713.5,12,2023-10-26,43.0715204343307,43.61885931406064,26,10
7092.0,4263.0,13,2023-10-26,43.0715204343307,43.61885931406064,26,10
1995.5,1995.5,14,2023-10-26,43.0715204343307,43.61885931406064,26,10
0.0,0.0,15,2023-10-26,43.0715204343307,43.61885931406064,26,10
1078.0,874.0,1,2023-10-29,44.40808728595169,43.85524506453307,29,10
3173.5,2258.0,2,2023-10-29,44.40808728595169,43.85524506453307,29,10
13010.0,13213.0,3,2023-10-29,44.40808728595169,43.85524506453307,29,10
976.0,158.0,4,2023-10-29,44.40808728595169,43.85524506453307,29,10
0.0,0.0,5,2023-10-29,44.40808728595169,43.85524506453307,29,10
8898.0,8136.5,6,2023-10-29,44.40808728595169,43.85524506453307,29,10
7107.0,6327.5,7,2023-10-29,44.40808728595169,43.85524506453307,29,10
7305.0,7802.0,8,2023-10-29,44.40808728595169,43.85524506453307,29,10
2160.0,1597.0,9,2023-10-29,44.40808728595169,43.85524506453307,29,10
4714.0,6483.0,10,2023-10-29,44.40808728595169,43.85524506453307,29,10
4939.0,4577.0,11,2023-10-29,44.40808728595169,43.85524506453307,29,10
16523.5,13937.0,12,2023-10-29,44.40808728595169,43.85524506453307,29,10
7865.0,7631.5,13,2023-10-29,44.40808728595169,43.85524506453307,29,10
1688.0,1766.5,14,2023-10-29,44.40808728595169,43.85524506453307,29,10
560.0,809.5,15,2023-10-29,44.40808728595169,43.85524506453307,29,10
1115.0,994.5,1,2023-10-30,45.4164250867817,43.9906182568722,30,10
1686.0,1588.0,2,2023-10-30,45.4164250867817,43.9906182568722,30,10
