Union por la Patria,Juntos por el Cambio,La Libertad Avanza,Hacemos juntos nuestro Pais,Frente de Izquierda y Trabajadores,Fuente,fecha_mediana,Union por la Patria_Encuestas,Juntos por el Cambio_Encuestas,La Libertad Avanza_Encuestas,Hacemos juntos nuestro Pais_Encuestas,Frente de Izquierda y Trabajadores_Encuestas,dia,mes,anio
381.0,195.0,703.5,310.0,546.5,1,2023-10-22 00:00:00,36.78,23.81,29.99,6.73,2.7,22,10,2023
1678.0,436.0,3250.0,486.0,541.0,2,2023-10-22 00:00:00,36.78,23.81,29.99,6.73,2.7,22,10,2023
9503.5,9503.5,9446.0,9503.5,9503.5,3,2023-10-22 00:00:00,36.78,23.81,29.99,6.73,2.7,22,10,2023
184.0,184.0,184.0,184.0,184.0,4,2023-10-22 00:00:00,36.78,23.81,29.99,6.73,2.7,22,10,2023
0.0,0.0,0.0,0.0,0.0,5,2023-10-22 00:00:00,36.78,23.81,29.99,6.73,2.7,22,10,2023
1611.0,5017.5,6380.5,1364.0,4465.0,6,2023-10-22 00:00:00,36.78,23.81,29.99,6.73,2.7,22,10,2023
1395.5,4163.5,5672.0,14959.0,14959.0,7,2023-10-22 00:00:00,36.78,23.81,29.99,6.73,2.7,22,10,2023
6678.0,8232.0,8232.0,8232.0,8232.0,8,2023-10-22 00:00:00,36.78,23.81,29.99,6.73,2.7,22,10,2023
791.0,166.0,551.0,358.0,674.0,9,2023-10-22 00:00:00,36.78,23.81,29.99,6.73,2.7,22,10,2023
2650.0,2516.0,2864.5,0.0,4337.0,10,2023-10-22 00:00:00,36.78,23.81,29.99,6.73,2.7,22,10,2023
3125.0,2553.0,4612.0,2291.0,3673.0,11,2023-10-22 00:00:00,36.78,23.81,29.99,6.73,2.7,22,10,2023
7308.0,5886.0,13162.0,8601.0,4752.0,12,2023-10-22 00:00:00,36.78,23.81,29.99,6.73,2.7,22,10,2023
6873.5,5826.0,4405.0,0.0,0.0,13,2023-10-22 00:00:00,36.78,23.81,29.99,6.73,2.7,22,10,2023
