La Libertad Avanza,Union por la Patria,Inicio,Final
51.36,48.64,2023-10-25,2023-10-27
50.89,49.11,2023-10-25,2023-11-08
50.65,49.35,2023-10-26,2023-11-03
50.59,49.41,2023-10-28,2023-10-29
50.68,49.32,2023-11-01,2023-11-03
50.89,49.11,2023-11-01,2023-11-06
51.18,48.82,2023-11-02,2023-11-03
51.52,48.48,2023-11-02,2023-11-04
51.87,48.13,2023-11-03,2023-11-05
52.2,47.8,2023-11-03,2023-11-07
52.48,47.52,2023-11-04,2023-11-06
52.68,47.32,2023-11-05,2023-11-09
52.78,47.22,2023-11-06,2023-11-08
52.74,47.26,2023-11-07,2023-11-08
52.54,47.46,2023-11-10,2023-11-11
52.16,47.84,2023-11-13,2023-11-13
