Union por la Patria,Juntos por el Cambio,La Libertad Avanza,Hacemos juntos nuestro Pais,Frente de Izquierda y Trabajadores,Inicio,Final
29.84,38.21,24.99,3.84,3.11,2022-12-25,2023-01-06
30.47,37.9,24.72,3.81,3.1,2022-12-26,2023-01-03
30.99,37.69,24.43,3.79,3.1,2023-01-06,2023-01-11
31.42,37.54,24.16,3.78,3.11,2023-01-11,2023-01-17
31.77,37.43,23.91,3.78,3.12,2023-01-15,2023-01-16
32.03,37.34,23.7,3.79,3.14,2023-01-16,2023-01-22
32.23,37.26,23.55,3.8,3.16,2023-01-19,2023-01-19
32.36,37.18,23.46,3.81,3.18,2023-01-23,2023-02-03
32.44,37.09,23.44,3.83,3.21,2023-02-01,2023-02-01
32.45,36.99,23.49,3.84,3.23,2023-02-02,2023-02-05
32.42,36.86,23.61,3.86,3.26,2023-02-05,2023-02-07
32.34,36.71,23.79,3.88,3.28,2023-02-10,2023-02-16
32.23,36.53,24.04,3.89,3.3,2023-02-12,2023-02-17
32.09,36.34,24.34,3.91,3.33,2023-02-14,2023-02-28
31.92,36.12,24.69,3.92,3.35,2023-02-18,2023-02-27
31.73,35.89,25.08,3.94,3.37,2023-02-27,2023-04-13
31.53,35.65,25.49,3.95,3.39,2023-03-08,2023-03-16
31.33,35.4,25.92,3.96,3.4,2023-03-27,2023-03-29
31.12,35.15,26.36,3.96,3.41,2023-04-02,2023-04-04
30.91,34.9,26.8,3.97,3.42,2023-04-02,2023-04-14
30.72,34.66,27.22,3.97,3.43,2023-04-05,2023-04-09
30.53,34.44,27.62,3.97,3.44,2023-04-05,2023-04-15
30.36,34.23,27.98,3.98,3.45,2023-04-07,2023-04-15
30.21,34.05,28.31,3.98,3.45,2023-04-10,2023-04-14
30.08,33.9,28.59,3.97,3.45,2023-04-11,2023-04-16
29.98,33.77,28.82,3.97,3.45,2023-04-17,2023-05-07
29.89,33.69,29.0,3.97,3.45,2023-04-22,2023-04-30
29.84,33.63,29.11,3.96,3.45,2023-04-27,2023-04-30
29.81,33.62,29.17,3.96,3.45,2023-05-06,2023-05-13
29.8,33.63,29.16,3.96,3.45,2023-05-08,2023-05-13
29.82,33.69,29.09,3.95,3.45,2023-05-09,2023-05-20
29.86,33.79,28.95,3.95,3.45,2023-05-12,2023-05-19
29.93,33.92,28.76,3.95,3.44,2023-05-14,2023-05-22
30.02,34.09,28.51,3.94,3.44,2023-05-18,2023-05-24
30.13,34.28,28.21,3.94,3.44,2023-05-19,2023-05-26
30.25,34.51,27.87,3.94,3.43,2023-05-19,2023-06-06
30.4,34.76,27.47,3.94,3.43,2023-05-20,2023-05-28
30.56,35.03,27.05,3.94,3.43,2023-05-26,2023-06-01
30.73,35.33,26.59,3.94,3.42,2023-05-26,2023-06-09
30.91,35.63,26.11,3.94,3.42,2023-06-02,2023-06-05
31.09,35.94,25.61,3.94,3.42,2023-06-05,2023-06-12
31.28,36.26,25.1,3.94,3.41,2023-06-08,2023-06-14
31.48,36.58,24.59,3.94,3.41,2023-06-25,2023-06-27
31.67,36.89,24.08,3.95,3.41,2023-06-26,2023-06-29
