La Libertad Avanza,Union por la Patria,Inicio,Final
46.345,43.887,2023-10-25,2023-10-27
45.82,44.209,2023-10-25,2023-11-08
45.543,44.377,2023-10-26,2023-11-03
45.48,44.422,2023-10-28,2023-10-29
45.599,44.375,2023-11-01,2023-11-03
45.869,44.266,2023-11-01,2023-11-06
46.26,44.127,2023-11-02,2023-11-03
46.743,43.989,2023-11-02,2023-11-04
47.291,43.883,2023-11-03,2023-11-05
47.877,43.839,2023-11-03,2023-11-07
48.476,43.889,2023-11-04,2023-11-06
49.063,44.063,2023-11-05,2023-11-09
49.614,44.393,2023-11-06,2023-11-08
50.108,44.91,2023-11-07,2023-11-08
50.523,45.644,2023-11-10,2023-11-11
50.839,46.627,2023-11-13,2023-11-13
