La Libertad Avanza,Union por la Patria,Inicio,Final
51.292,48.708,2023-10-25,2023-10-27
50.929,49.071,2023-10-25,2023-11-08
50.705,49.295,2023-10-26,2023-11-03
50.616,49.384,2023-10-28,2023-10-29
50.652,49.348,2023-11-01,2023-11-03
50.8,49.2,2023-11-01,2023-11-06
51.041,48.959,2023-11-02,2023-11-03
51.352,48.648,2023-11-02,2023-11-04
51.705,48.295,2023-11-03,2023-11-05
52.067,47.933,2023-11-03,2023-11-07
52.4,47.6,2023-11-04,2023-11-06
52.663,47.337,2023-11-05,2023-11-09
52.807,47.193,2023-11-06,2023-11-08
52.782,47.218,2023-11-07,2023-11-08
52.53,47.47,2023-11-10,2023-11-11
51.991,48.009,2023-11-13,2023-11-13
