Union por la Patria,Juntos por el Cambio,La Libertad Avanza,Hacemos juntos nuestro Pais,Frente de Izquierda y Trabajadores,Inicio,Final
30.113,38.39,25.26,3.846,3.129,2022-12-25,2023-01-06
31.006,38.381,25.184,3.848,3.144,2022-12-26,2023-01-03
31.702,38.352,25.013,3.851,3.159,2023-01-06,2023-01-11
32.224,38.299,24.789,3.853,3.173,2023-01-11,2023-01-17
32.594,38.217,24.547,3.855,3.187,2023-01-15,2023-01-16
32.833,38.104,24.315,3.858,3.2,2023-01-16,2023-01-22
32.959,37.96,24.115,3.86,3.213,2023-01-19,2023-01-19
32.988,37.786,23.961,3.862,3.226,2023-01-23,2023-02-03
32.937,37.582,23.864,3.865,3.238,2023-02-01,2023-02-01
32.82,37.35,23.83,3.867,3.25,2023-02-02,2023-02-05
32.65,37.094,23.862,3.87,3.262,2023-02-05,2023-02-07
32.438,36.817,23.96,3.872,3.273,2023-02-10,2023-02-16
32.197,36.524,24.12,3.875,3.284,2023-02-12,2023-02-17
31.934,36.217,24.338,3.877,3.294,2023-02-14,2023-02-28
31.66,35.902,24.606,3.88,3.304,2023-02-18,2023-02-27
31.38,35.584,24.916,3.883,3.313,2023-02-27,2023-04-13
31.103,35.268,25.259,3.885,3.322,2023-03-08,2023-03-16
30.834,34.957,25.626,3.888,3.331,2023-03-27,2023-03-29
30.577,34.658,26.008,3.891,3.339,2023-04-02,2023-04-04
30.338,34.373,26.393,3.894,3.347,2023-04-02,2023-04-14
30.12,34.109,26.774,3.896,3.355,2023-04-05,2023-04-09
29.924,33.868,27.14,3.899,3.362,2023-04-05,2023-04-15
29.755,33.654,27.483,3.902,3.368,2023-04-07,2023-04-15
29.613,33.47,27.795,3.905,3.375,2023-04-10,2023-04-14
29.499,33.32,28.07,3.908,3.38,2023-04-11,2023-04-16
29.415,33.205,28.3,3.911,3.386,2023-04-17,2023-05-07
29.359,33.127,28.482,3.914,3.391,2023-04-22,2023-04-30
29.333,33.088,28.61,3.917,3.395,2023-04-27,2023-04-30
29.335,33.089,28.682,3.92,3.4,2023-05-06,2023-05-13
29.364,33.128,28.696,3.923,3.404,2023-05-08,2023-05-13
29.42,33.208,28.651,3.926,3.407,2023-05-09,2023-05-20
29.501,33.325,28.547,3.929,3.41,2023-05-12,2023-05-19
29.604,33.479,28.386,3.932,3.413,2023-05-14,2023-05-22
29.729,33.669,28.169,3.935,3.415,2023-05-18,2023-05-24
29.873,33.891,27.901,3.938,3.417,2023-05-19,2023-05-26
30.033,34.143,27.584,3.942,3.418,2023-05-19,2023-06-06
30.208,34.422,27.224,3.945,3.419,2023-05-20,2023-05-28
30.396,34.723,26.827,3.948,3.419,2023-05-26,2023-06-01
30.593,35.044,26.398,3.951,3.42,2023-05-26,2023-06-09
30.798,35.378,25.945,3.955,3.419,2023-06-02,2023-06-05
31.008,35.723,25.474,3.958,3.419,2023-06-05,2023-06-12
31.22,36.072,24.993,3.961,3.418,2023-06-08,2023-06-14
